PMA_PMN_NUM,rpss,rpss_category,recall_count,total_adverse_events,unique-manufacturers,device_class,root_cause_description,last_scored,device_name
K092365,0.70126161,High,822,1646,0,2,Software design,2:35:19 AM,"INREACH SYSTEM, MODEL AAS00161-02"
P070027,0.701209236,High,173,97572,0,3,Other,2:35:19 AM,"System, Endovascular Graft, Aortic Aneurysm Treatment"
P150002,0.700023074,High,173,2076,0,3,Other,2:35:19 AM,"System, Endovascular Graft, Aortic Aneurysm Treatment"
K131548,0.69799084,High,671,72468,0,2,Nonconforming Material/Component,2:35:19 AM,SYNTHES TROCHANTERIC FIXATION NAIL - ADVANCED SYSTEM
K113482,0.697153258,High,978,1956,0,2,Manufacturing material removal,2:35:19 AM,JOURNEY II DEEP DISHED ARTICULAR INSERTS
K953274,0.697153258,High,978,1956,0,2,Manufacturing material removal,2:35:19 AM,GENESIS POROUS TIBIAL TRAYS & REVISION KNEE SYSTEM
P010012,0.69680048,High,153,60660522,0,3,Process control,2:35:19 AM,"PUNCTUA, ENERGEN, INCEPTA, ORIGEN, INOGEN, DYNAGEN, CARDIAC RESYNHRONIZATION THERAPY-DEFIBRILLATOR"
K162309,0.693357336,High,194,391298,0,2,Software design,2:35:19 AM,StealthStation S8 System Platforms and StealthStation Cranial Software
P830055,0.679914287,High,269,24235370,0,3,Packaging process control,2:35:19 AM,"Prosthesis, Knee, Patellofemorotibial, Semi-Constrained, Metal/Polymer, Mobile Bearing"
K212228,0.677999007,High,617,82678,0,2,Device Design,2:35:19 AM,WATCHMAN FXD Curve Access System
K243224,0.676740229,High,617,3085,0,2,Device Design,2:35:19 AM,MitraClip™ G5 Steerable Guide Catheter (SGC0801); TriClip™ G5 Steerable Guide Catheter (TSGC0801)
K240018,0.676481608,High,617,53679,0,2,Device Design,2:35:19 AM,WATCHMAN TruSteer Access System (M635TU90050)
K180919,0.675904256,High,617,1851,0,2,Device Design,2:35:19 AM,GORE Tri-Lumen Catheter
K250426,0.67587915,High,617,3085,0,2,Device Design,2:35:19 AM,Amulet™ Steerable Delivery Sheath
K220647,0.675263097,High,617,1234,0,2,Device Design,2:35:19 AM,"GuideLiner Coast, 5.5F (5270); GuideLiner Coast, 6F (5271); GuideLiner Coast, 7F (5272); GuideLiner Coast, 8F (5273)"
K172090,0.674921621,High,617,1234,0,2,Device Design,2:35:19 AM,GuideLiner V3 Catheter
K230363,0.67490152,High,617,2468,0,2,Device Design,2:35:19 AM,CPS Locator 3D Delivery Catheter
K182420,0.674641491,High,617,4319,0,2,Device Design,2:35:19 AM,ASAHI Corsair Pro XS
K182829,0.674389832,High,617,1851,0,2,Device Design,2:35:19 AM,Scepter Mini Occlusion Balloon Catheter
K183493,0.674349465,High,617,14191,0,2,Device Design,2:35:19 AM,SelectSite C304-HIS Deflectable Catheter System
K241538,0.67428208,High,617,25914,0,2,Device Design,2:35:19 AM,TriClip Steerable Guide Catheter
K193607,0.674255904,High,617,1851,0,2,Device Design,2:35:19 AM,BOBBY Balloon Guide Catheter
K180959,0.674187392,High,617,10489,0,2,Device Design,2:35:19 AM,Phenom 27 Catheter
K183353,0.674171149,High,617,8021,0,2,Device Design,2:35:19 AM,Telescope Guide Extension Catheter
K182097,0.674166729,High,617,20978,0,2,Device Design,2:35:19 AM,React 71 Catheter
K180715,0.674134677,High,617,22829,0,2,Device Design,2:35:19 AM,React 68 Catheter
K212738,0.674070304,High,617,3702,0,2,Device Design,2:35:19 AM,Amplatzer Talisman Delivery Sheath
K192135,0.673985648,High,617,3702,0,2,Device Design,2:35:19 AM,"VIA Microcatheter (size 17), VIA Microcatheter (size 21), VIA Microcatheter (size 27), VIA Microcatheter (size 33)"
K190581,0.673865684,High,617,7404,0,2,Device Design,2:35:19 AM,Amplatzer Trevisio Intravascular Delivery System
K182844,0.673803167,High,617,3085,0,2,Device Design,2:35:19 AM,ASAHI SASUKE
K211990,0.67362732,High,617,8638,0,2,Device Design,2:35:19 AM,Rist 071 Radial Access Guide Catheter
K191551,0.673446006,High,617,9872,0,2,Device Design,2:35:19 AM,RIST Cath Radial Access Long Sheath
K191237,0.673411811,High,617,8638,0,2,Device Design,2:35:19 AM,CERENOVUS Large Bore Catheter
K970668,0.673373671,High,617,1234,0,2,Device Design,2:35:19 AM,THE AMPLANTZ GOOSE NECK MICROSNARE
K172468,0.673324741,High,617,2468,0,2,Device Design,2:35:19 AM,"091 Long Sheath, 70 cm, 091 Long Sheath, 80 cm, 091 Long Sheath, 90 cm"
K200721,0.672793961,High,617,1234,0,2,Device Design,2:35:19 AM,Agilis HisPro Steerable Catheter With Electrodes
K965211,0.672760589,High,617,617,0,2,Device Design,2:35:19 AM,VISTA BRITE TIP CATHETERS
K234115,0.672760589,High,617,617,0,2,Device Design,2:35:19 AM,APRO 55 Catheter
K232690,0.672760589,High,617,617,0,2,Device Design,2:35:19 AM,Amulet™ Steerable Delivery Sheath
K211251,0.672760589,High,617,617,0,2,Device Design,2:35:19 AM,ViperCath XC Peripheral Exchange Catheter
K221750,0.672760589,High,617,617,0,2,Device Design,2:35:19 AM,CPS AIM Universal II Slittable Inner Catheter
K214024,0.672760589,High,617,617,0,2,Device Design,2:35:19 AM,SOFIA 88 Catheter
K240885,0.672760589,High,617,617,0,2,Device Design,2:35:19 AM,Shadow Catheter
K191664,0.672760589,High,617,617,0,2,Device Design,2:35:19 AM,SelectFlex 072 Neurovascular Access System
K242873,0.672760589,High,617,617,0,2,Device Design,2:35:19 AM,Ventrax™ Delivery System
K173799,0.672760589,High,617,617,0,2,Device Design,2:35:19 AM,NaviCross 0.018
K191717,0.672760589,High,617,617,0,2,Device Design,2:35:19 AM,Route 92 Medical Sheath System
K192525,0.672760589,High,617,617,0,2,Device Design,2:35:19 AM,087 Balloon Guide Catheter System
K203521,0.672760589,High,617,617,0,2,Device Design,2:35:19 AM,FineCross M3
K122170,0.672144543,High,672,55104,0,2,Nonconforming Material/Component,2:35:19 AM,"SMITH & NEPHEW, INC. INTRAMEDULLARY NAIL SYSTEM INSTRUMENTATION"
K072279,0.666417379,High,646,1292,0,2,Device Design,2:35:19 AM,MAGNETIC RESONANCE DIAGNOSTIC DEVICE
K172157,0.660043591,High,671,47641,0,2,Nonconforming Material/Component,2:35:19 AM,DePuy Synthes Femoral Recon Nail System
K223233,0.656668357,High,257,514,0,2,Software Design Change,2:35:19 AM,Monaco RTP System
K200015,0.656490144,High,248,496,0,2,Software design,2:35:19 AM,ePM Series Patient monitors
K111711,0.655234041,High,978,67482,0,2,Manufacturing material removal,2:35:19 AM,JOURNEY II BCS KNEE SYSTEM
K223435,0.654494597,High,17,207230,0,2,Software design,2:35:19 AM,FreeStyle Libre 3 Continuous Glucose Monitoring System; FreeStyle Libre 2 Flash Glucose Monitoring System
K213787,0.651371554,High,257,514,0,2,Software Design Change,2:35:19 AM,Monaco RTP System
K222312,0.650506741,High,257,514,0,2,Software Design Change,2:35:19 AM,RayStation 12A
K141156,0.650460211,High,249,4731,0,2,Software design,2:35:19 AM,SPACELABS HEALTHCARE TELEMETRY RECEIVER
K163584,0.650386471,High,248,744,0,2,Software design,2:35:19 AM,M3290B Philips IntelliVue Information Center iX
K180017,0.650233076,High,248,1736,0,2,Software design,2:35:19 AM,MX40 Release C.01
K071073,0.650001327,High,249,249,0,2,Software design,2:35:19 AM,SOLAR 8000 AND TRANSPORT PRO WITH PATIENT DATA MODULE
K171621,0.650001327,High,249,249,0,2,Software design,2:35:19 AM,"Welch Allyn Connex Vital Signs Monitor, Welch Allyn Connex Integrated Wall System, 901060 Vital Signs Monitor"
K190178,0.650000843,High,257,257,0,2,Software Design Change,2:35:19 AM,Monaco RTP System
K062271,0.649947262,High,248,496,0,2,Software design,2:35:19 AM,"M3290A INTELLIVUE INFORMATION CENTER SOFTWARE, RELEASE J.00 (FOR M3140, M3145, M3150, M3151, M3154, M3155, M3169, M3170)"
K201746,0.649780166,High,248,151280,0,2,Software design,2:35:19 AM,Tempus Pro Patient Monitor
K110622,0.649750217,High,248,496,0,2,Software design,2:35:19 AM,INTELLIVUE PATIENT MONITOR
K112962,0.649656538,High,248,1240,0,2,Software design,2:35:19 AM,SPACELABS HEALTHCARE XPREZZON BESIDE MONITOR(9913930)
K172510,0.6496498,High,248,82088,0,2,Software design,2:35:19 AM,µCor Heart Failure and Arrhythmia Management System
K151860,0.649624283,High,248,496,0,2,Software design,2:35:19 AM,Infinity CentralStation Wide
K123900,0.649452333,High,248,2232,0,2,Software design,2:35:19 AM,"SURESIGNS VM4, SURESIGNS VM6, SURESIGNS VM8"
K213799,0.649426767,High,248,496,0,2,Software design,2:35:19 AM,N Series Patient Monitors
K080342,0.649407744,High,248,3224,0,2,Software design,2:35:19 AM,"NIHON KOHDEN BEDSIDE MONITOR, MODEL BSM-6000S SERIES"
K081983,0.649398409,High,248,1488,0,2,Software design,2:35:19 AM,"M3290A INTELLIVUE INFORMATION CENTER SOFTWARE, RELEASE 1.00"
K181831,0.649337753,High,248,1984,0,2,Software design,2:35:19 AM,IntelliVue Multi-Measurement Module MMX
K190939,0.649300698,High,248,5456,0,2,Software design,2:35:19 AM,ZOLL Arrhythmia Management Sysyem
K131872,0.649300324,High,248,11656,0,2,Software design,2:35:19 AM,"INTELLIVUE PATIENT MONITOR MX500, INTELLIVUE PATIENT MONITOR MX550"
K130849,0.649291073,High,248,15376,0,2,Software design,2:35:19 AM,INTELLIVUE PATIENT MONITOR MX400; INTELLIVUE PATIENT MONITOR MX450
K211900,0.649285668,High,248,24800,0,2,Software design,2:35:19 AM,Patient Information Center iX
K102422,0.649276694,High,248,992,0,2,Software design,2:35:19 AM,SPACELABS MEDICAL PATIENT MONITORS
K061379,0.649262327,High,248,2728,0,2,Software design,2:35:19 AM,INFINITY TELESMART TELEMETRY SYSTEM
K163459,0.649259103,High,248,4712,0,2,Software design,2:35:19 AM,Nihon Kohden Vital Sign Telemeter
K203435,0.649244072,High,248,2976,0,2,Software design,2:35:19 AM,"Nihon Kohden Life Scope G5 Bedside Monitoring System, Nihon Kohden Life Scope G7 Bedside Monitoring System"
K120616,0.649234916,High,248,3968,0,2,Software design,2:35:19 AM,SPACELABS HEALTHCARE QUBE COMPACT MONITOR (91390
K151812,0.649227333,High,248,7440,0,2,Software design,2:35:19 AM,PATIENT MONITORS VARIOUS MODELS
K160951,0.649200503,High,248,992,0,2,Software design,2:35:19 AM,Philips Efficia CMS200 Central Monitoring System
K113798,0.649192221,High,248,6944,0,2,Software design,2:35:19 AM,"INFINITY ACUTE CARE SYSTEM, INFINITY MCABLE- MASIMO RAINBOW SET"
K153702,0.649184621,High,248,6944,0,2,Software design,2:35:19 AM,M3290B Philips IntelliVue Information Center iX
K102376,0.649181282,High,248,25544,0,2,Software design,2:35:19 AM,"NIHON KOHDEN CNS-6200 SERIES CENTRAL NURSE STATION, MODEL CNS-6201"
K171801,0.649162093,High,248,42656,0,2,Software design,2:35:19 AM,"IntelliVue Patient Monitor MX100 and Multi-Measurement Module X3; intelliVue Hemodynamic Extension, Capnography Extension, Microstream Extension;Transpac IV Dual IBP Cable"
K122146,0.649138231,High,248,25296,0,2,Software design,2:35:19 AM,"XHIBIT CENTRAL STATION, MODEL 96102"
K183387,0.649083748,High,248,31992,0,2,Software design,2:35:19 AM,M3290B Patient Information Center iX
K210906,0.649073793,High,248,13392,0,2,Software design,2:35:19 AM,"IntelliVue Patient Monitor MX750, IntelliVue Patient Monitor MX850, IntelliVue 4-Slot module rack FMX-4"
K122439,0.649048889,High,248,2480,0,2,Software design,2:35:19 AM,INTELLIVUE PATIENT MONITOR
K152407,0.648993042,High,248,1240,0,2,Software design,2:35:19 AM,"Infinity Delta, Infinity Delta XL, Infinity Kappa"
K153448,0.648911992,High,248,496,0,2,Software design,2:35:19 AM,"Passport Series Patient Monitors (Including Passport 8, Passport 12)"
K130711,0.648797836,High,248,496,0,2,Software design,2:35:19 AM,INFINITY CENTRALSTATION WITH INFINITY M300
K201941,0.648796503,High,248,248,0,2,Software design,2:35:19 AM,"Monitor B125, Monitor B105"
K041741,0.648796503,High,248,248,0,2,Software design,2:35:19 AM,M3290A INTELLIVUE INFORMATION CENTER SOFTWARE RELEASE F.0 AND M4840A PHILIPS TELEMETRY SYSTEM II INCLUDING M4841A PATIEN
K171580,0.648796503,High,248,248,0,2,Software design,2:35:19 AM,"Monitor B125, Monitor B105"
K150082,0.648796503,High,248,248,0,2,Software design,2:35:19 AM,Panorama Patient Monitoring Network
K143676,0.648796503,High,248,248,0,2,Software design,2:35:19 AM,B40i Patient Monitor
K071426,0.648796503,High,248,248,0,2,Software design,2:35:19 AM,"MP2, X2, MP5, MP20, MP30, MP40, MP50, MP60, MP70, MP80, AND MP90  INTELLIVUE PATIENT MONITORS"
K012226,0.648796503,High,248,248,0,2,Software design,2:35:19 AM,"MONITORING SYSTEM,MODEL ARGUS PB-1000"
K213363,0.648796503,High,248,248,0,2,Software design,2:35:19 AM,"CARESCAPE B450, E-musb"
K031340,0.648796503,High,248,248,0,2,Software design,2:35:19 AM,"SIEMENS INFINITY MODULAR MONITORS, MODELS SC 8000, SC 7000 AND SC 9000XL, WITH SCIO"
K082280,0.648796503,High,248,248,0,2,Software design,2:35:19 AM,"SURESIGNS VS2 VITAL SIGNS MONITOR, SURESIGNS VM1 PATIENT MONITOR, SURESIGNS VS3 CITAL SIGNS MONITOR"
K080251,0.648796503,High,248,248,0,2,Software design,2:35:19 AM,APEXPRO TELEMETRY SYSTEMS
K191249,0.648796503,High,248,248,0,2,Software design,2:35:19 AM,CARESCAPE B450
K121416,0.64759556,High,978,58680,0,2,Manufacturing material removal,2:35:19 AM,GMK SPHERE
K111400,0.647338828,High,978,58680,0,2,Manufacturing material removal,2:35:19 AM,"OPTETRAK LOGIC CR TIBIAL INSERT, OPTETRAK LOGIC CR FEMORAL COMPONENT"
K201346,0.646906941,High,671,38918,0,2,Nonconforming Material/Component,2:35:19 AM,"DePuy Synthes Retrograde Femoral Nail Advanced System, DePuy Synthes Locking Screws for Medullary Nails, 5.0 mm"
K213328,0.645654934,High,671,38247,0,2,Nonconforming Material/Component,2:35:19 AM,"Gamma4 System, Gamma3 System, IMN Screws System, T2 Tibial Nailing System"
K121443,0.645452395,High,978,55746,0,2,Manufacturing material removal,2:35:19 AM,JOURNEY II CR KNEE SYSTEM
P010031,0.644235764,High,153,44719344,0,3,Process control,2:35:19 AM,VARIOUS FAMILIES OF CRT-ICDS
K191625,0.643371187,High,978,53790,0,2,Manufacturing material removal,2:35:19 AM,Persona Revision Knee System
K233537,0.643135541,High,17,39338,0,2,Software design,2:35:19 AM,FreeStyle Libre 3 Continuous Glucose Monitoring System; FreeStyle Libre 2 Flash Glucose Monitoring System
K231081,0.641656718,High,17,17119,0,2,Software design,2:35:19 AM,Dexcom G7 Continuous Glucose Monitoring (CGM) System
K103002,0.641581771,High,671,35563,0,2,Nonconforming Material/Component,2:35:19 AM,SYNTHES MULTILOC PROXIMAL HUMERAL NAILING SYSTEM
P160054,0.640575661,High,123,64387548,0,3,Labeling design,2:35:19 AM,Ventricular (Assist) Bypass
K120790,0.63806235,High,978,1956,0,2,Manufacturing material removal,2:35:19 AM,GMK - LINE EXTENSION
K052747,0.636056294,High,178,712,0,2,Device Design,2:35:19 AM,MODIFICATION TO:CD HORIZON SPINAL SYSTEM
K113550,0.636029207,High,979,45034,0,2,Manufacturing material removal,2:35:19 AM,VANGUARD COMPLETE KNEE SYSTEM
K152170,0.633702993,High,978,43032,0,2,Manufacturing material removal,2:35:19 AM,Exactech Optetrak Logic Enhanced Assembly
P220012,0.632589907,High,217,7929180,0,3,Device Design,2:35:19 AM,Implantable Cardioverter Defibrillator (Non-Crt)
K063559,0.632560971,High,644,400568,0,2,Device Design,2:35:19 AM,"ACHIEVA, INTERA AND PANORAMA 1.0T, RELEASE 2.5"
K160648,0.63054057,High,979,2012824,0,2,Process control,2:35:19 AM,MiniMed Quick-Set® MiniMed Sure-T® MiniMed Silhouette® MiniMed Mio®
K043200,0.630512045,High,671,28182,0,2,Nonconforming Material/Component,2:35:19 AM,SIGN FIN NAIL
K132304,0.630434557,High,289,66470,0,2,Device Design,2:35:19 AM,EPIQ DIAGNOSTIC ULTRASOUND SYSTEM
K212692,0.629803791,High,178,356,0,2,Device Design,2:35:19 AM,Mariner Pedicle Screw System
K113060,0.629296116,High,978,1956,0,2,Manufacturing material removal,2:35:19 AM,UNITY TOATAL KNEE SYSTEM
K180179,0.628704605,High,178,890,0,2,Device Design,2:35:19 AM,Firebird® Spinal Fixation Systems: Firebird System; Firebird Deformity System; Firebird® NXG Spinal Fixation System; Phoenix® Minimally Invasive Spinal Fixation System; Phoenix® CDX™ Minimally Invasive Spinal Fixation System; JANUS® Midline Fixation Screw; JANUS® Fenestrated Screw
P100047,0.628237689,High,123,53443500,0,3,Labeling design,2:35:19 AM,Ventricular (Assist) Bypass
K202476,0.627720457,High,178,356,0,2,Device Design,2:35:19 AM,Salvo® Spine System
K221479,0.627513357,High,978,36186,0,2,Manufacturing material removal,2:35:19 AM,Persona Personalized Knee System
K162838,0.626357363,High,822,2469,0,2,Software design,2:35:19 AM,Philips iCT CT System
K110547,0.625820864,High,978,34230,0,2,Manufacturing material removal,2:35:19 AM,OPTERTRAK LOGIC PSC TIBIAL INSERT
K160342,0.625259105,High,978,29340,0,2,Manufacturing material removal,2:35:19 AM,EMPOWR PS Knee System
K221619,0.625107663,High,644,1288,0,2,Device Design,2:35:19 AM,ECHELON Oval V6.2 MRI System
K180930,0.625009105,High,978,29340,0,2,Manufacturing material removal,2:35:19 AM,EMPOWR VVC TIBIAL INSERT
K242831,0.624425986,High,978,1956,0,2,Manufacturing material removal,2:35:19 AM,Triathlon Knee System; Triathlon Pro Posterior Stabilized Femoral Components; Triathlon Tritanium Tibial Baseplate; Triathlon Low Profile Tibial Tray; Triathlon Metal Backed Patella; Triathlon Partial Knee System; Avon Patello-femoral Joint Prosthesis; Restoris Multi-Compartmental Knee System
K122457,0.62328469,High,515,1545,0,2,Component design/selection,2:35:19 AM,"GE INNOVA/INNOVA IGS/DISCOVERY IGS/OPTIMA ANGIOGRAPHIC, FLUOSCOPIC X-RAY SYSTEMS WITH CATHLAB FRONTIERS SOLUTIONS"
K033737,0.623074689,High,516,178020,0,2,Component design/selection,2:35:19 AM,ALLURA XPER FD20
K193215,0.622727912,High,657,657,0,2,Device Design,2:35:19 AM,"Achieva, Intera, Ingenia, Ingneia CX, Ingenia Elition, and Ingenia Ambition MR Systems"
K170496,0.622164902,High,178,356,0,2,Device Design,2:35:19 AM,"Xia® 3 Spinal System, Stryker Spine Power Adaptor Instrument Accessory"
K223458,0.62107792,High,644,3864,0,2,Device Design,2:35:19 AM,"Ingenia, Ingenia CX, Ingenia Elition, Ingenia Ambition, MR 5300 and MR 7700 MR Systems"
K170240,0.620919921,High,978,28362,0,2,Manufacturing material removal,2:35:19 AM,Truliant Femoral Components
K232535,0.620224492,High,644,3220,0,2,Device Design,2:35:19 AM,MAGNETOM Sola; MAGNETOM Altea
K140826,0.619145687,High,978,22494,0,2,Manufacturing material removal,2:35:19 AM,GMK SPHERE EXTENSION
K103170,0.619095305,High,978,22494,0,2,Manufacturing material removal,2:35:19 AM,GMK REVISION KNEE SC LINERS
K183583,0.618944415,High,978,2934,0,2,Manufacturing material removal,2:35:19 AM,Vanguard Complete Knee System
K062623,0.618658311,High,509,509,0,2,Component design/selection,2:35:19 AM,AXIOM LUMINOS DRF
K010435,0.618310938,High,507,2028,0,2,Component design/selection,2:35:19 AM,PHILIPS BV PULSERA/ENDURA
K170806,0.618024041,High,978,3912,0,2,Manufacturing material removal,2:35:19 AM,"ATTUNE Cemented Tibial Base, Fixed Bearing"
K173356,0.617690718,High,644,26404,0,2,Device Design,2:35:19 AM,Ingenia Elition S and Ingenia Elition X R5.4
K231560,0.617350013,High,644,7728,0,2,Device Design,2:35:19 AM,MAGNETOM Vida; MAGNETOM Lumina; MAGNETOM Aera; MAGNETOM Skyra; MAGNETOM Prisma; MAGNETOM Prisma fit
K052202,0.61691412,High,506,506,0,2,Component design/selection,2:35:19 AM,AXIOM ARTIS - MODULAR ANGIOGRAPHIC SYSTEM
K232494,0.616773701,High,644,644,0,2,Device Design,2:35:19 AM,MAGNETOM Avanto fit; MAGNETOM Skyra fit
K181613,0.616773701,High,644,644,0,2,Device Design,2:35:19 AM,"MAGNETOM Avanto, MAGNETOM Verio with software syngo MR E11D"
K223442,0.616773701,High,644,644,0,2,Device Design,2:35:19 AM,MR 5300 and MR 7700 R11 MR Systems
K971189,0.616522164,High,978,3912,0,2,Manufacturing material removal,2:35:19 AM,P.F.C. SIGMA KNEE SYSTEM (SIZE 1.5)
K952830,0.616277306,High,984,14760,0,2,Manufacturing material removal,2:35:19 AM,DARWIN KNEE SYSTEM (TC3)
K112404,0.616246164,High,617,1234,0,2,Device Design,2:35:19 AM,CONCENTRIC BALLOON GUIDE CATHETER
K042053,0.615751326,High,504,504,0,2,Component design/selection,2:35:19 AM,"INNOVA 4100, INNOVA 3100"
K171054,0.615526569,High,978,22494,0,2,Manufacturing material removal,2:35:19 AM,Biomet Knee Joint Replacement Prostheses
K002016,0.615366115,High,502,2008,0,2,Component design/selection,2:35:19 AM,PHILIPS INTEGRIS ALLURA
K133580,0.615294038,High,498,996,0,2,Component design/selection,2:35:19 AM,ARTIS ONE
K173639,0.614931308,High,502,8534,0,2,Component design/selection,2:35:19 AM,"Luminos dRF Max, Luminos Agile Max, Uroskop Omnia Max, Multitom Rax"
K171907,0.614822663,High,179,3759,0,2,Device Design,2:35:19 AM,Vitality® Spinal Fixation System
K120780,0.614743274,High,543,1086,0,2,Device Design,2:35:19 AM,EDWARD PROPLEGE PERIPHERAL RETROGRADE CARDIOPLEGIA DEVICE
K191932,0.614586958,High,178,890,0,2,Device Design,2:35:19 AM,Momentum™ Posterior Spinal Fixation System
K954208,0.614568313,High,978,21516,0,2,Manufacturing material removal,2:35:19 AM,OPTETRAK CONSTRAINED CONDYLAR KNEE FOR CEMENTED USE ONLY
K210427,0.614427081,High,178,712,0,2,Device Design,2:35:19 AM,M.U.S.T. Midline Cortical (MC) Screw System
K181830,0.614288318,High,501,136773,0,2,Component design/selection,2:35:19 AM,Azurion R2.0
K162859,0.614191141,High,498,1175778,0,2,Component design/selection,2:35:19 AM,Allura Xper FD series and Allura Xper OR Table series
K243364,0.614101162,High,671,1342,0,2,Nonconforming Material/Component,2:35:19 AM,TRIGEN META-TAN Trochanteric Antegrade Nail
K992660,0.614007135,High,501,501,0,2,Component design/selection,2:35:19 AM,URF DIGITAL - OT
K123762,0.61399904,High,543,1629,0,2,Device Design,2:35:19 AM,DLP RETROGRADE CORONARY SINUS PERFUSION CANNULA WITH AUTO-INFLATE CUFF
K203482,0.613883979,High,178,356,0,2,Device Design,2:35:19 AM,M.U.S.T. Pedicle Screw Extension and Long Tab Implants
K232628,0.613756493,High,178,356,0,2,Device Design,2:35:19 AM,VADER® Pedicle System
K192938,0.613734866,High,178,712,0,2,Device Design,2:35:19 AM,Invictus™ Spinal Fixation System
K182586,0.61365988,High,543,4344,0,2,Device Design,2:35:19 AM,"DLP Aortic Root Cannula, DLP Aortic Root Cannula with Vent Line, DLP Pressure Monitoring Extension Line Adapter, DLP Cardioplegia Adapter with Pressure Port"
K200917,0.613498717,High,498,738036,0,2,Component design/selection,2:35:19 AM,Azurion R2.1
K010801,0.613454351,High,672,16800,0,2,Nonconforming Material/Component,2:35:19 AM,T2 FEMORAL NAIL
K173433,0.613425738,High,500,500,0,2,Component design/selection,2:35:19 AM,ProxiDiagnost N90
K181403,0.613410896,High,499,1497,0,2,Component design/selection,2:35:19 AM,"Innova IGS 5, Innova IGS 6, Discovery IGS 7, Discovery IGS 7 OR"
K190594,0.613266128,High,543,1086,0,2,Device Design,2:35:19 AM,"AngioVac C20, AngioVac C180"
K200074,0.613263622,High,498,575190,0,2,Component design/selection,2:35:19 AM,O-arm O2 Imaging System
K130638,0.613255622,High,498,584154,0,2,Component design/selection,2:35:19 AM,ALLURACLARITY XPER FD SERIES X-RAY SYSTEM
K221244,0.613211668,High,178,2492,0,2,Device Design,2:35:19 AM,CD Horizon™ Spinal System
K180456,0.613190959,High,543,1629,0,2,Device Design,2:35:19 AM,Bio-Medicus Adult Cannulae Kit
K181407,0.613182272,High,499,11477,0,2,Component design/selection,2:35:19 AM,Artis zee/zeego & Artis Q/Q.zen
K150422,0.613081759,High,543,1629,0,2,Device Design,2:35:19 AM,EOPA 3D Arterial Cannula
K131482,0.61307387,High,617,1851,0,2,Device Design,2:35:19 AM,SOFIA DISTAL ACCESS CATHETER
K972503,0.613048737,High,543,1086,0,2,Device Design,2:35:19 AM,"CARDIOPLEGIA ADAPTERS, VESSEL CANULAE, AND AORTIC ROOT CANNULAE"
K123370,0.613031689,High,543,2715,0,2,Device Design,2:35:19 AM,"EZ GLIDE AORTIC CANNULA, AORTIC PERFUSION CANNULA WITH DURAFLO COATING, DISPERSION AORTIC PERFUSION CANNULA"
K140165,0.613007277,High,543,3801,0,2,Device Design,2:35:19 AM,"MC2 TWO-STAGE VENOUS CANNULA, OVAL MC2 TWO-STAGE VENOUS CANNULA, THIN WALL TWO-STAGE VENOUS CANNULA, MC2X THREE-STAGE VE"
K132451,0.61297332,High,543,3258,0,2,Device Design,2:35:19 AM,SARNS SOFT-FLOW AORTIC CANNULA
